Place,County,Population,Density,PerCapitaIncome,MedianIncome1,MedianIncome2
MOUNT HERMON,Santa Cruz,1027,1575.2,31268,48549,65893
MOUNT LAGUNA,San Diego,12,7.1,NA,NA,NA
MOUNT SHASTA,Siskiyou,3331,884.5,31179,43969,66667
MUIR BEACH,Marin,292,592.3,86269,161458,178333
MURPHYS,Calaveras,1884,182.5,35424,46885,62330
MURRIETA,Riverside,106326,3166.3,28719,74401,79996
MUSCOY,San Bernardino,11674,3714.3,9951,35660,37012
MYERS FLAT,Humboldt,57,131.9,NA,NA,NA
MYRTLETOWN,Humboldt,5225,2489.3,28725,61534,73558
NAPA,Napa,78511,4397.1,31185,64058,74981
NATIONAL CITY,San Diego,59543,8180.1,17143,39517,42531
NEEDLES,San Bernardino,4923,159.7,19001,33045,42031
NEVADA CITY,Nevada,3051,1394.4,35087,51685,51997
NEWARK,Alameda,43635,3144.9,31825,86521,91103
NEWCASTLE,Placer,1409,589,26616,45865,71912
NEW CUYAMA,Santa Barbara,591,837.1,14149,34000,45625
NEWELL,Modoc,429,178.2,6580,23182,23466
NEWMAN,Stanislaus,10553,5239.8,16012,43722,46780
NEW PINE CREEK,Modoc,84,36.8,35398,31023,NA
NEWPORT BEACH,Orange,86594,3641.8,78012,107991,153709
NICASIO,Marin,95,72.8,39938,96500,96000
NICE,Lake,2156,1247.7,20164,24149,36325
NICOLAUS,Sutter,205,65.3,50181,85625,100417
NILAND,Imperial,1063,2644.3,15828,17461,27854
NIPINNAWASEE,Madera,729,236.3,23511,66397,66544
NIPOMO,San Luis Obispo,17115,1152.3,27705,57185,68900
NORCO,Riverside,27143,1970.2,27702,85142,96631
NORD,Butte,239,113.5,18961,31923,76250
NORRIS CANYON,Contra Costa,1227,346.8,59374,196726,205625
NORTH AUBURN,Placer,14011,1793.8,25077,48052,60637
NORTH EDWARDS,Kern,966,75.8,21833,45658,53241
NORTH EL MONTE,Los Angeles,3924,9276.6,28164,69960,75426
NORTH FAIR OAKS,San Mateo,15181,12650.8,26426,63343,53176
NORTH GATE,Contra Costa,417,633.7,52891,96333,96250
NORTH HIGHLANDS,Sacramento,44899,5087.7,17401,40986,43243
NORTH LAKEPORT,Lake,2676,696,28998,52577,60625
NORTH RICHMOND,Contra Costa,3926,2788.4,16194,35288,45703
NORTH SAN JUAN,Nevada,281,116,14102,27417,28250
NORTH SHORE,Riverside,3184,284.9,9434,24853,30147
NORTH TUSTIN,Orange,25724,3891.1,59863,123270,140609
NORWALK,Los Angeles,106455,10964.6,19584,60523,63688
NOVATO,Marin,53451,1947.7,44724,76609,97081
NUBIEBER,Lassen,15,20,19160,NA,NA
NUEVO,Riverside,7345,1084.8,19329,59464,64185
OAKDALE,Stanislaus,21260,3517,24832,53785,60861
OAK GLEN,San Bernardino,694,46.7,24589,66923,73750
OAK HILLS,San Bernardino,10308,422.6,26761,74257,82961
OAKHURST,Madera,2482,413.9,21563,39709,46484
OAKLAND,Alameda,402339,7198.4,32566,52962,60472
OAKLEY,Contra Costa,37391,2355.6,27993,78597,83803
OAK PARK,Ventura,14512,2742.8,57470,117326,134178
OAK SHORES,San Luis Obispo,147,29,61129,81964,86364
OAK VIEW,Ventura,4347,2215.6,32723,72137,79375
OAKVILLE,Napa,59,43.4,9415,NA,NA
OASIS,Riverside,5807,295.8,7512,24293,24148
OCCIDENTAL,Sonoma,1155,232.6,54705,70172,86083
OCEANO,San Luis Obispo,7355,4800.9,20725,48629,46545
OCEANSIDE,San Diego,171400,4155,27009,58385,68203
OCOTILLO,Imperial,221,25,6672,21397,NA
OILDALE,Kern,33879,5185.8,17773,33818,35843
OJAI,Ventura,7558,1738.3,35231,60714,90000
OLANCHA,Inyo,287,36.6,26673,41974,94583
OLD FIG GARDEN,Fresno,5186,3139.2,41348,63358,78060
OLD STATION,Shasta,52,23.4,15327,NA,NA
OLIVEHURST,Yuba,13928,1867,15357,43044,44394
ONTARIO,San Bernardino,166892,3342.3,18601,54156,56017
ONYX,Kern,599,52.3,16946,27991,29330
ORANGE,Orange,138980,5480.7,31330,77086,85123
ORANGE COVE,Fresno,9473,5286.3,9734,27450,27868
ORANGEVALE,Sacramento,34449,2991.4,31241,65288,80068
ORCUTT,Santa Barbara,30266,2720.5,32246,71830,81016
ORICK,Humboldt,281,59.2,34279,32656,49583
ORINDA,Contra Costa,18390,1430.8,84985,166866,213021
ORLAND,Glenn,7451,2557,16179,38425,45858
OROSI,Tulare,8620,3524.1,10342,34464,33819
OROVILLE,Butte,16015,1209.9,18777,36581,42551
OROVILLE EAST,Butte,8782,400.4,24851,52944,67920
OXNARD,Ventura,201744,7499.5,20651,62349,62165
PACHECO,Contra Costa,4295,5796.2,30011,48024,53083
PACIFICA,San Mateo,38283,3023.5,44886,96875,113750
PACIFIC GROVE,Monterey,15365,5376.1,46690,70230,93302
PAJARO,Monterey,2957,3189.9,8779,29179,29643
PAJARO DUNES,Santa Cruz,269,105,59635,67250,67000
PALERMO,Butte,5419,185.8,21349,42371,55612
PALMDALE,Los Angeles,155810,1470.4,19438,54921,56351
PALM DESERT,Riverside,49953,1863.3,39275,52053,68893
PALM SPRINGS,Riverside,45827,487.3,36126,45497,55320
PALO ALTO,Santa Clara,65998,2764.5,75257,126771,167440
PALO CEDRO,Shasta,1626,442,35654,81000,84643
PALOS VERDES ESTATES,Los Angeles,13568,2842.1,87408,171328,203241
PALO VERDE,Imperial,17,28.8,NA,NA,NA
PANORAMA HEIGHTS,Tulare,38,80,22153,22500,41250
PARADISE,Butte,26246,1432.8,24573,41482,56119
PARADISE,Mono,235,54,35874,48864,80000
PARADISE PARK,Santa Cruz,542,1942.7,39762,62125,66875
PARAMOUNT,Los Angeles,54813,11588.4,14168,43784,43997
PARKLAWN,Stanislaus,1191,7174.7,13110,42105,43606
PARKSDALE,Madera,3114,1719.5,8111,30069,29604
PARKWAY,Sacramento,14756,6102.6,15622,33959,34570
PARKWOOD,Madera,2879,4124.6,10280,31908,27438
PARLIER,Fresno,14750,6452.3,11039,31832,30729
PASADENA,Los Angeles,139065,6050.8,41268,70845,88600
PASATIEMPO,Santa Cruz,1016,1149.3,98473,175536,183457
PASKENTA,Tehama,52,48.1,15448,36250,42750
PATTERSON,Stanislaus,20736,3482.7,18774,54422,58184
PATTERSON TRACT,Tulare,2041,1411.5,15433,37688,39500
PATTON VILLAGE,Lassen,592,178.2,26548,46477,47386
PAXTON,Plumas,0,0,NA,NA,NA
PAYNES CREEK,Tehama,41,12,28341,44375,93125
PEARSONVILLE,Inyo,23,5.6,26096,NA,NA
PENNGROVE,Sonoma,2928,727.6,49672,73430,104271
PENN VALLEY,Nevada,1599,753.9,20243,43750,58553
PENRYN,Placer,946,518.4,37080,80213,78315
PERRIS,Riverside,71377,2273.6,13516,48591,48265
PESCADERO,San Mateo,1046,259.8,24750,61161,57656
PETALUMA,Sonoma,58912,4096.2,35239,80590,89400
PETERS,San Joaquin,523,207,56941,116616,117195
PHELAN,San Bernardino,12947,215.4,22355,53093,59804
PHILLIPSVILLE,Humboldt,77,107.7,27396,23860,NA
PHILO,Mendocino,317,155.6,11234,16667,29333
PHOENIX LAKE,Tuolumne,4712,427.9,34735,75434,92652
PICO RIVERA,Los Angeles,63698,7678.2,18643,56576,62987
PIEDMONT,Alameda,10957,6445.3,101794,212222,247171
PIERPOINT,Tulare,23,56.4,NA,NA,NA
PIKE,Sierra,126,29.2,23885,35714,35000
PINE CANYON,Monterey,2243,672.4,26633,46683,47043
PINE FLAT,Tulare,130,111.9,26923,30625,62143
PINE GROVE,Amador,1865,267.7,30314,48571,64375
PINE HILLS,Humboldt,3160,312.3,32080,52438,56406
PINE MOUNTAIN CLUB,Kern,1890,112.1,34312,45911,57872
PINE MOUNTAIN LAKE,Tuolumne,2422,127.7,31321,51604,59848
PINE VALLEY,San Diego,1554,217.3,35479,100085,100557
PINOLE,Contra Costa,18754,3641.6,34219,74379,82679
PIÑON HILLS,San Bernardino,6654,207.2,25501,42210,57723
PIONEER,Amador,1237,287.3,35596,42614,75104
PIRU,Ventura,2078,736.9,17001,46601,47281
PISMO BEACH,San Luis Obispo,7789,2164.2,37657,67500,88041
PITTSBURG,Contra Costa,65761,3826,23330,60376,64521
PIXLEY,Tulare,3769,1210.3,9889,28179,29702
PLACENTIA,Orange,51860,7840.9,30218,79275,87403
PLACERVILLE,El Dorado,10415,1792,24801,46199,59158
PLAINVIEW,Tulare,858,2776.7,6873,25938,26042
PLANADA,Merced,4465,2831.3,13072,35690,36056
PLEASANT HILL,Contra Costa,33842,4782.6,43580,81556,108900
PLEASANTON,Alameda,73164,2995.2,50972,123608,140311
PLEASURE POINT,Santa Cruz,6004,7973.4,38471,57462,60078
PLUMAS EUREKA,Plumas,265,66.7,56948,63611,63472
PLUMAS LAKE,Yuba,6380,760.9,24080,78333,75400
PLYMOUTH,Amador,1185,1272.8,20681,44531,56042
POINT ARENA,Mendocino,405,300,18534,30000,47500
POINT REYES STATION,Marin,848,234.5,39984,36597,88098
POLLOCK PINES,El Dorado,6540,824.9,31164,49044,57396
POMONA,Los Angeles,151142,6585.1,17041,48993,50475
PONDEROSA,Tulare,100,123,61992,NA,NA
POPLAR-COTTON CENTER,Tulare,2764,2154.3,9980,21434,21500
PORT COSTA,Contra Costa,302,1911.4,54767,94018,88859
PORTERVILLE,Tulare,54949,3120.7,17330,41267,43657
PORT HUENEME,Ventura,21949,4931.3,22352,52826,54966
PORTOLA,Plumas,2710,501.2,21747,34134,36375
PORTOLA VALLEY,San Mateo,4478,492.2,152128,182381,NA
POSEY,Tulare,8,22.4,15638,NA,NA
POSO PARK,Tulare,4,90.9,NA,NA,NA
POTRERO,San Diego,693,220.1,12354,29554,37878
POTTER VALLEY,Mendocino,509,126.3,24767,64500,91442
POWAY,San Diego,49040,1254.9,40681,96315,109110
PRATTVILLE,Plumas,12,19.9,NA,NA,NA
PRINCETON,Colusa,232,126.4,29977,63929,75938
PROBERTA,Tehama,280,195.7,24271,34477,33727
PRUNEDALE,Monterey,18574,403.3,29138,72933,79802
QUARTZ HILL,Los Angeles,11002,2923.7,24681,53929,61990
QUINCY,Plumas,1439,340.8,27394,46875,67708
RACKERBY,Butte,139,47.1,25837,48125,53750
RAIL ROAD FLAT,Calaveras,369,11.2,20788,29922,34145
RAINBOW,San Diego,1678,152,30720,54408,76250
RAISIN CITY,Fresno,232,305.3,10661,18750,12143
RAMONA,San Diego,21578,561.8,24863,62919,69171
RANCHO CALAVERAS,Calaveras,5736,684.8,24281,56607,62371
RANCHO CORDOVA,Sacramento,67167,1927.2,24462,53563,58979
RANCHO CUCAMONGA,San Bernardino,170170,4268.8,31528,77061,88529
RANCHO MIRAGE,Riverside,17634,720.8,62814,71688,99677
RANCHO MURIETA,Sacramento,5804,488.3,53085,103750,116284
RANCHO PALOS VERDES,Los Angeles,42282,3140.1,57201,120697,137506
RANCHO SAN DIEGO,San Diego,21514,2472.6,38339,80591,92779
RANCHO SANTA FE,San Diego,2838,422.6,68119,101250,132054
RANCHO SANTA MARGARITA,Orange,48758,3780.6,42768,104952,120863
RANCHO TEHAMA RESERVE,Tehama,2300,197.6,14720,26046,23787
RANDSBURG,Kern,128,67.2,27320,26813,NA
RED BLUFF,Tehama,14069,1860.2,16505,32393,37926
RED CORRAL,Amador,1601,274,23210,30431,65469
REDCREST,Humboldt,52,87,17604,28750,21875
REDDING,Shasta,90725,1521,23893,43773,56506
REDLANDS,San Bernardino,69787,1936.9,31745,67112,85484
REDONDO BEACH,Los Angeles,67511,10892.4,52775,103064,123561
REDWAY,Humboldt,1132,904.9,19209,37882,50758
REDWOOD CITY,San Mateo,79736,4099.1,42063,81955,98149
REDWOOD VALLEY,Mendocino,1814,663,22656,78340,72577
REEDLEY,Fresno,24858,4839,16966,46002,45891
RELIEZ VALLEY,Contra Costa,3677,1558.7,77832,126458,131161
RIALTO,San Bernardino,101367,4536.9,16206,50277,52595
RICHFIELD,Tehama,278,496.4,25302,42500,46000
RICHGROVE,Tulare,3006,6650.4,8827,29792,29750
RICHMOND,Contra Costa,106469,3542.8,25769,54857,59976
RICHVALE,Butte,86,92.8,131735,77734,NA
RIDGECREST,Kern,28282,1361.9,27954,61480,70645
RIDGEMARK,San Benito,3471,1350.6,44974,100690,117672
RIO DELL,Humboldt,3373,1478.7,25645,39692,40733
RIO DEL MAR,Santa Cruz,9240,3080,53990,95938,125740
RIO LINDA,Sacramento,14581,1470,21131,50873,55063
RIO OSO,Sutter,428,65.6,32343,66250,90500
RIO VISTA,Solano,7646,1152.2,33919,62616,70045
RIPLEY,Riverside,659,387.4,10612,16522,17917
RIPON,San Joaquin,14645,2760.6,32213,75420,88176
RIVERBANK,Stanislaus,23310,5696.5,20646,59183,62366
RIVERDALE,Fresno,3881,988.8,12580,48350,44356
RIVERDALE PARK,Stanislaus,922,641.6,9263,26838,25392
RIVER PINES,Amador,309,844.3,12511,48285,NA
RIVERSIDE,Riverside,313041,3856.2,22212,56089,63418
ROBBINS,Sutter,355,136.9,19788,38158,42750
ROBINSON MILL,Butte,0,0,NA,NA,NA
ROCKLIN,Placer,59002,3018.8,35200,79274,91946
RODEO,Contra Costa,9648,2575.5,27318,68701,78949
RODRIGUEZ CAMP,Tulare,192,730,4581,27596,28365
ROHNERT PARK,Sonoma,41352,5904.9,27021,57557,71590
ROLLING HILLS,Los Angeles,1689,564.7,117241,218583,227250
ROLLING HILLS,Madera,921,1555.7,37133,100774,114107
ROLLING HILLS ESTATES,Los Angeles,8184,2293.1,66681,136477,154043
ROLLINGWOOD,Contra Costa,2832,16658.8,14782,48974,51250
ROMOLAND,Riverside,1682,636.2,16795,61232,60540
ROSAMOND,Kern,18658,358,21792,59099,61613
ROSEDALE,Kern,14826,502.2,42818,111273,121866
ROSE HILLS,Los Angeles,3260,7426,44614,94764,108438
ROSELAND,Sonoma,5556,5885.6,20167,53364,55677
ROSEMEAD,Los Angeles,54457,10549.6,17129,44524,44868
ROSEMONT,Sacramento,22824,5249.3,24417,54384,59959
ROSEVILLE,Placer,124250,2943.5,34514,76712,94461
ROSS,Marin,2227,1431.2,95706,186477,200833
ROSSMOOR,Orange,10816,7009.7,52267,114239,135833
ROUGH AND READY,Nevada,1195,376.6,22190,42268,75978
ROUND MOUNTAIN,Shasta,126,75.1,28929,22115,34688
ROUND VALLEY,Inyo,436,31.6,21687,45833,55625
ROUSE,Stanislaus,1757,7382.4,9395,23618,23026
ROWLAND HEIGHTS,Los Angeles,51597,3946.2,25845,61375,64678
RUNNING SPRINGS,San Bernardino,4833,1149.6,28253,69412,80905
RUTH,Trinity,164,4.2,19787,24028,76250
RUTHERFORD,Napa,219,130.4,35604,62024,102222
SACRAMENTO,Sacramento,476075,4861.7,26060,50013,57200
ST. HELENA,Napa,5895,1182.1,47794,78421,95000
SALIDA,Stanislaus,14509,2694.3,22428,72872,80594
SALINAS,Monterey,154077,6525.9,17810,49728,51426
SALMON CREEK,Sonoma,59,53,34354,34783,NA
SALTON CITY,Imperial,3867,180.4,16319,33906,35320
SALTON SEA BEACH,Imperial,757,2515,13722,19934,26944
SAMOA,Humboldt,305,364.4,23614,52778,49464
SAN ANDREAS,Calaveras,2829,337.7,22518,40613,50500
SAN ANSELMO,Marin,12527,4679.5,56821,100681,122857
SAN ANTONIO HEIGHTS,San Bernardino,3097,1260,57021,95250,109766
SAN ARDO,Monterey,647,1441,12899,42333,50438
SAN BERNARDINO,San Bernardino,213044,3463.7,14759,38774,40305
SAN BRUNO,San Mateo,42090,7707.4,35866,81420,89805
SAN BUENAVENTURA (VENTURA),Ventura,108449,4971.1,33180,66485,81446
SAN CARLOS,San Mateo,29166,5278,62548,125747,158853
SAN CLEMENTE,Orange,64673,3523.3,48063,91749,113018
SAND CITY,Monterey,355,631.7,25884,34659,34750
SAN DIEGO,San Diego,1341510,4125.3,33789,65753,78414
SAN DIEGO COUNTRY ESTATES,San Diego,10191,604.8,36448,100849,103806
SAN DIMAS,Los Angeles,33896,2254.2,35345,78911,92140
SAN FERNANDO,Los Angeles,24050,10130.6,17766,55044,56482
SAN FRANCISCO,San Francisco,829072,17680.1,49986,78378,93391
SAN GABRIEL,Los Angeles,40173,9691.9,25047,56238,62144
SANGER,Fresno,24587,4298.4,16620,42094,50206
SAN GERONIMO,Marin,369,244.7,52139,79485,89107
SAN JACINTO,Riverside,45497,1769.1,17350,46714,52111
SAN JOAQUIN,Fresno,4010,3350,7519,25545,24583
SAN JOSE,Santa Clara,986320,5586,34992,83787,92379
SAN JUAN BAUTISTA,San Benito,2219,3121,26097,57717,59321
SAN JUAN CAPISTRANO,Orange,35562,2498.2,37917,72568,82399
SAN LEANDRO,Alameda,87159,6530.2,29442,64279,76781
SAN LORENZO,Alameda,24563,8873.9,26755,74283,80149
SAN LUCAS,Monterey,243,616.8,13289,45417,51250
SAN LUIS OBISPO,San Luis Obispo,45911,3496.6,26377,44894,78641
SAN MARCOS,San Diego,87808,3603.9,24789,56139,63866
SAN MARINO,Los Angeles,13294,3529.1,72861,119300,154050
SAN MARTIN,Santa Clara,7081,610.7,40075,107966,121154
SAN MATEO,San Mateo,100114,8253.4,46782,90087,106876
SAN MIGUEL,Contra Costa,3355,3195.2,57644,136346,157768
SAN MIGUEL,San Luis Obispo,2638,1571.2,19793,47875,42692
SAN PABLO,Contra Costa,29516,11222.8,16874,42746,47666
SAN PASQUAL,Los Angeles,2143,8403.9,56601,103409,110833
SAN RAFAEL,Marin,58588,3536.4,46075,75668,96660
SAN RAMON,Contra Costa,73826,3971.1,51569,129062,151494
SAN SIMEON,San Luis Obispo,477,598.5,18990,33889,53796
SANTA ANA,Orange,331266,12203.1,16345,52519,50505
SANTA BARBARA,Santa Barbara,89669,4600.8,37692,65916,82769
SANTA CLARA,Santa Clara,119525,6492.7,41222,93840,109672
SANTA CLARITA,Los Angeles,179030,3395.2,33879,83178,90819
SANTA CRUZ,Santa Cruz,62045,4870.1,29177,61533,79431
SANTA FE SPRINGS,Los Angeles,16859,1900.2,20761,51786,63333
SANTA MARGARITA,San Luis Obispo,1231,2381,28335,51453,65104
SANTA MARIA,Santa Barbara,101468,4454.3,18509,50753,52515
SANTA MONICA,Los Angeles,91619,10887.6,58252,74534,113956
SANTA NELLA,Merced,1164,255.3,19860,30000,43281
SANTA PAULA,Ventura,29990,6529.5,20303,53692,58110
SANTA ROSA,Sonoma,170782,4136,29890,60758,69921
SANTA ROSA VALLEY,Ventura,3422,494.4,67083,162639,175466
SANTA SUSANA,Ventura,989,888.6,35603,87386,100750
SANTA VENETIA,Marin,5017,1370.4,34564,81583,98939
SANTA YNEZ,Santa Barbara,4909,955.8,43990,97911,99519
SANTEE,San Diego,55435,3415.6,30531,74213,86397
SARANAP,Contra Costa,5591,4930.3,49107,102054,131675
SARATOGA,Santa Clara,30627,2454.3,77667,167917,197332
SATICOY,Ventura,1212,3258.1,11926,35926,33207
SATTLEY,Sierra,74,36.2,49272,NA,NA
SAUSALITO,Marin,7043,3976.8,89751,111702,180898
SCOTIA,Humboldt,864,1158.2,23080,54605,54028
SCOTTS VALLEY,Santa Cruz,11711,2535.9,44459,102927,115324
SEACLIFF,Santa Cruz,3373,4397.7,33424,61437,68271
SEAL BEACH,Orange,24477,2166.7,46617,54026,92352
SEA RANCH,Sonoma,983,60.9,46759,59375,77885
SEARLES VALLEY,San Bernardino,1597,152.2,22999,30478,46023
SEASIDE,Monterey,33729,3650.3,21548,52538,53926
SEBASTOPOL,Sonoma,7535,4051.1,35094,52326,67782
SEELEY,Imperial,1214,1001.7,13570,26761,42708
SELMA,Fresno,23808,4633.7,15292,43143,44226
SEQUOIA CREST,Tulare,26,25.4,NA,NA,NA
SERENO DEL MAR,Sonoma,51,69.2,71720,123611,NA
SEVILLE,Tulare,437,687.1,9214,34219,32813
SHAFTER,Kern,17261,617.7,14563,41107,41663
SHANDON,San Luis Obispo,1323,448.5,22883,59236,57639
SHASTA,Shasta,1814,165.2,31400,61042,72400
SHASTA LAKE,Shasta,10143,928.8,20337,40295,50343
SHAVER LAKE,Fresno,735,22.8,41103,80481,97188
SHELL RIDGE,Contra Costa,1139,2648.8,54179,120163,121630
SHELTER COVE,Humboldt,516,88.5,50193,23480,24459
SHERIDAN,Placer,1465,56.3,18223,47719,59712
SHINGLE SPRINGS,El Dorado,4562,555.7,35567,82788,82740
SHINGLETOWN,Shasta,2241,90.9,23742,50491,58856
SHOSHONE,Inyo,22,0.8,40018,NA,NA
SIERRA BROOKS,Sierra,418,305.1,27876,41250,70417
SIERRA CITY,Sierra,263,122.3,64830,123846,148000
SIERRA MADRE,Los Angeles,11060,3745.3,48923,90780,111389
SIERRA VILLAGE,Tuolumne,612,242.4,24564,50024,52091
SIERRAVILLE,Sierra,133,26.5,14649,32500,NA
SIGNAL HILL,Los Angeles,11245,5167.7,30387,67320,65851
SILVERADO RESORT,Napa,1074,568,89910,161739,168869
SILVER CITY,Tulare,0,0,NA,NA,NA
SILVER LAKES,San Bernardino,5706,1102.8,26377,66703,77791
SIMI VALLEY,Ventura,125699,3030.6,37279,89595,98394
SISQUOC,Santa Barbara,276,123.8,16611,43750,62500
SKY VALLEY,Riverside,2493,102.5,21593,34107,50391
SLEEPY HOLLOW,Marin,2584,865.1,88551,189688,220750
SMARTSVILLE,Yuba,143,199.4,19583,26100,27400
SMITH CORNER,Kern,661,3004.5,9508,36063,36438
SMITH RIVER,Del Norte,871,219.4,15985,32426,34583
SNELLING,Merced,116,214.8,24639,38333,70750
SODA BAY,Lake,1369,1065.4,32831,57450,56716
SODA SPRINGS,Nevada,80,237.4,22734,28917,NA
SOLANA BEACH,San Diego,13146,3734.7,59225,90579,112217
SOLEDAD,Monterey,26008,5892.2,9701,46010,46651
SOLVANG,Santa Barbara,5345,2204.1,39334,66511,77159
SONOMA,Sonoma,10818,3942.4,45197,66951,96064
SONORA,Tuolumne,4844,1531.5,25174,32985,46597
SOQUEL,Santa Cruz,10275,2234.7,36612,78703,95208
SOULSBYVILLE,Tuolumne,2020,671.1,28916,74250,74864
SOUTH DOS PALOS,Merced,2464,1605.2,12459,44180,50865
SOUTH EL MONTE,Los Angeles,20375,7166.7,14926,44498,47702
SOUTH GATE,Los Angeles,95515,13200,14256,43526,44947
SOUTH LAKE TAHOE,El Dorado,21394,2106.1,23865,41380,52885
SOUTH MONROVIA ISLAND,Los Angeles,6929,12644.2,17824,57012,57329
SOUTH OROVILLE,Butte,6058,2065.5,10946,33605,33978
SOUTH PASADENA,Los Angeles,25914,7610.6,46649,80479,107015
SOUTH SAN FRANCISCO,San Mateo,65537,7140.7,32269,78101,89186
SOUTH SAN GABRIEL,Los Angeles,8281,9941.2,23693,66958,72007
SOUTH SAN JOSE HILLS,Los Angeles,21012,13933.7,14020,58154,56408
SOUTH TAFT,Kern,1680,1561.3,13453,39784,40365
SOUTH WHITTIER,Los Angeles,58328,10929,20659,64112,65778
SPAULDING,Lassen,197,59.2,26594,54722,64643
SPRECKELS,Monterey,939,7696.7,29268,80288,97083
SPRING GARDEN,Plumas,0,0,NA,NA,NA
SPRING VALLEY,Lake,1000,202.6,17196,27404,31354
SPRING VALLEY,San Diego,29841,4165.4,26104,64517,68285
SPRING VALLEY LAKE,San Bernardino,7816,2631.6,26121,59040,73575
SPRINGVILLE,Tulare,502,120,24696,35038,60625
SQUAW VALLEY,Fresno,2450,43.3,24659,63629,68948
SQUIRREL MOUNTAIN VALLEY,Kern,372,521.7,39483,42596,43990
STALLION SPRINGS,Kern,2983,181.6,32696,55903,63306
STANFORD,Santa Clara,13506,4945.4,30200,51622,173750
STANTON,Orange,38455,12416.9,18870,45842,47509
STEVENSON RANCH,Los Angeles,18832,2962.4,47057,114555,125459
STEVINSON,Merced,171,151.3,26693,52250,72917
STINSON BEACH,Marin,425,294.9,60870,108571,123309
STIRLING CITY,Butte,154,130.8,31496,97792,97792
STOCKTON,San Joaquin,297223,4819.8,19927,45347,50166
STONYFORD,Colusa,283,97.7,19104,50833,58750
STORRIE,Plumas,0,0,NA,NA,NA
STRATFORD,Kings,1301,1904.8,9288,23750,21579
STRATHMORE,Tulare,3626,2578.9,9913,26250,22398
STRAWBERRY,Marin,5684,4312.6,65102,87870,103676
STRAWBERRY,Tuolumne,228,437.6,16877,NA,NA
SUGARLOAF MOUNTAIN PARK,Tulare,0,0,NA,NA,NA
SUGARLOAF SAW MILL,Tulare,0,0,NA,NA,NA
SUGARLOAF VILLAGE,Tulare,9,134.3,27122,21250,NA
SUISUN CITY,Solano,28627,6973.7,25809,71306,76051
SULTANA,Tulare,813,1831.1,9019,24282,24176
SUMMERLAND,Santa Barbara,1575,794.3,65173,89050,106763
SUNNYSIDE,Fresno,4159,2158.3,31299,63222,65323
SUNNYSIDE-TAHOE CITY,Placer,1845,545.9,33019,69330,93000
SUNNY SLOPES,Mono,137,72.7,69329,135438,NA
SUNNYVALE,Santa Clara,145921,6637.9,48203,103257,117982
SUNOL,Alameda,956,34.4,51704,82750,96071
SUN VILLAGE,Los Angeles,11613,1087.5,17065,57840,59753
SUSANVILLE,Lassen,16537,2081.4,15350,49430,69871
SUTTER,Sutter,2959,974.6,29639,64671,64833
SUTTER CREEK,Amador,2271,865.8,30601,41071,70250
SWALL MEADOWS,Mono,259,58,35984,72083,81563
TAFT,Kern,9063,593.8,19016,50991,56886
TAFT HEIGHTS,Kern,2612,8824.3,19555,54505,53302
TAFT MOSSWOOD,San Joaquin,1398,2955.6,11291,31829,33400
TAHOE VISTA,Placer,1332,490.4,27463,53068,59676
TAHOMA,El DoradoPlacer,959,369.7,32244,50568,53438
TALMAGE,Mendocino,1335,839.6,20095,69853,81944
TAMALPAIS-HOMESTEAD VALLEY,Marin,10331,2205.1,70073,138598,162628
TARA HILLS,Contra Costa,4767,7168.4,23890,57708,62143
TARPEY VILLAGE,Fresno,3246,4032.3,21394,58641,71833
TAYLORSVILLE,Plumas,185,57,56136,76176,NA
TECOPA,Inyo,115,6.2,11688,12000,20714
TEHACHAPI,Kern,13818,1399.3,16613,42654,57389
TEHAMA,Tehama,397,500,22452,47679,49286
TEMECULA,Riverside,104955,2820.5,28630,78535,86773
TEMELEC,Sonoma,1505,947.7,65456,40000,66304
TEMESCAL VALLEY,Riverside,24714,1282.1,34390,89259,96162
TEMPLE CITY,Los Angeles,36006,8988,27403,63803,73210
TEMPLETON,San Luis Obispo,7753,987.4,33281,72854,88650
TENNANT,Siskiyou,115,473.3,10137,14934,15865
TERMINOUS,San Joaquin,409,418.6,47117,53636,65865
TERRA BELLA,Tulare,2912,1070.2,7919,24489,25352
TEVISTON,Tulare,1823,839.7,8812,24267,22850
THERMAL,Riverside,3570,377.7,10647,26344,23481
THERMALITO,Butte,6911,544,14509,35156,35958
THORNTON,San Joaquin,748,350.7,14204,33500,33646
THOUSAND OAKS,Ventura,128126,2321.8,46231,99115,116599
THOUSAND PALMS,Riverside,7956,336.6,20191,43813,45830
THREE RIVERS,Tulare,2278,51.2,33420,43913,67125
THREE ROCKS,Fresno,51,68,8131,NA,NA
TIBURON,Marin,9100,2046.8,99710,130661,170915
TIMBER COVE,Sonoma,132,23.4,37758,34554,64375
TIPTON,Tulare,2327,2304,9892,32239,32716
TOBIN,Plumas,12,2.4,NA,NA,NA
TOMALES,Marin,155,466.9,38493,38480,NA
TONYVILLE,Tulare,764,15280,16311,49934,49934
TOOLEVILLE,Tulare,387,5776.1,13664,29125,24766
TOPANGA,Los Angeles,8923,466.5,62434,115518,125946
TOPAZ,Mono,123,40.1,12633,NA,NA
TORO CANYON,Santa Barbara,1476,412.5,57476,72500,103056
TORRANCE,Los Angeles,147181,7187.3,36876,78286,94077
TRACY,San Joaquin,84573,3748.5,26121,74748,80439
TRANQUILLITY,Fresno,897,1453.8,11432,24919,26528
